# RLC
{'R_sense': 10, 'R_circuit': 10, 'C': 4.7e-07, 'L': 0.000221, 'Vpk': 0.6}
1.137938e+03,1.966643e-03,2.332638e-06,-1.415347e+00,1.365782e-03
1.161837e+03,2.006300e-03,5.122427e-06,-1.412517e+00,2.151765e-03
1.186238e+03,2.046561e-03,4.619563e-06,-1.410670e+00,2.305509e-03
1.211152e+03,2.086077e-03,1.489762e-06,-1.408295e+00,1.176401e-03
1.236589e+03,2.126947e-03,4.816326e-06,-1.407411e+00,1.632293e-03
1.262560e+03,2.169220e-03,8.351765e-06,-1.404923e+00,1.105416e-03
1.289076e+03,2.213013e-03,7.502134e-06,-1.403505e+00,9.879017e-04
1.316150e+03,2.256282e-03,2.449698e-06,-1.401342e+00,1.833078e-03
1.343792e+03,2.302014e-03,4.626851e-06,-1.398658e+00,1.769269e-03
1.372014e+03,2.345095e-03,3.627132e-06,-1.396874e+00,2.034669e-03
1.400829e+03,2.392892e-03,6.954684e-06,-1.395806e+00,5.396205e-03
1.430250e+03,2.438585e-03,7.844861e-06,-1.393277e+00,1.025162e-03
1.460288e+03,2.486655e-03,5.880756e-06,-1.389217e+00,1.711556e-03
1.490957e+03,2.537415e-03,6.558392e-06,-1.388709e+00,1.111111e-03
1.522271e+03,2.585262e-03,2.428429e-06,-1.386417e+00,5.959476e-04
1.554242e+03,2.637936e-03,8.102198e-06,-1.383695e+00,1.892228e-03
1.586884e+03,2.691047e-03,6.466346e-06,-1.381164e+00,1.666179e-03
1.620212e+03,2.741445e-03,3.441962e-06,-1.378611e+00,3.556549e-03
1.654240e+03,2.796880e-03,5.644701e-06,-1.376785e+00,3.005546e-03
1.688983e+03,2.851632e-03,6.735374e-06,-1.374001e+00,2.528009e-03
1.724455e+03,2.909750e-03,3.573020e-06,-1.371352e+00,7.451876e-04
1.760672e+03,2.963020e-03,3.120519e-06,-1.368544e+00,1.215915e-03
1.797650e+03,3.023054e-03,4.378866e-06,-1.366104e+00,3.918289e-03
1.835404e+03,3.083374e-03,7.220859e-06,-1.363760e+00,1.549688e-03
1.873952e+03,3.141086e-03,8.507473e-06,-1.361236e+00,3.189563e-03
1.913309e+03,3.204106e-03,5.398659e-06,-1.358517e+00,1.402215e-03
1.953492e+03,3.270002e-03,1.129813e-05,-1.355746e+00,1.463786e-03
1.994520e+03,3.331576e-03,5.057528e-06,-1.352663e+00,1.821951e-03
2.036409e+03,3.396802e-03,3.863722e-06,-1.349619e+00,9.481729e-04
2.079178e+03,3.462309e-03,6.611359e-06,-1.346834e+00,2.210574e-03
2.122845e+03,3.533380e-03,8.725295e-06,-1.343728e+00,2.212918e-03
2.167430e+03,3.601599e-03,8.299643e-06,-1.340475e+00,1.789018e-03
2.212950e+03,3.672085e-03,1.459423e-05,-1.337329e+00,1.948582e-03
2.259427e+03,3.743045e-03,9.265345e-06,-1.334533e+00,4.563758e-03
2.306880e+03,3.817234e-03,1.191504e-05,-1.330596e+00,3.329213e-03
2.355329e+03,3.892386e-03,1.109825e-05,-1.327394e+00,3.013934e-03
2.404796e+03,3.993351e-03,4.821315e-05,-1.316775e+00,2.142343e-02
2.455302e+03,4.049187e-03,5.516679e-06,-1.320794e+00,1.332609e-03
2.506869e+03,4.132690e-03,1.095123e-05,-1.316855e+00,3.757348e-03
2.559518e+03,4.211257e-03,1.152868e-05,-1.313796e+00,2.165436e-03
2.613274e+03,4.296300e-03,1.735268e-05,-1.309689e+00,2.564192e-03
2.668158e+03,4.385984e-03,1.784951e-05,-1.306261e+00,2.320876e-03
2.724195e+03,4.472804e-03,1.377966e-05,-1.302198e+00,3.981829e-03
2.781409e+03,4.564187e-03,1.779468e-05,-1.298336e+00,3.858250e-03
2.839825e+03,4.657508e-03,1.153318e-05,-1.294693e+00,4.875958e-03
2.899467e+03,4.746949e-03,1.453020e-05,-1.290284e+00,3.205264e-03
2.960362e+03,4.845653e-03,1.205987e-05,-1.286317e+00,1.749155e-03
3.022536e+03,4.942107e-03,5.141211e-06,-1.281472e+00,9.395673e-04
