# RL-C
{'R_sense': 10, 'R_circuit': 10, 'C': 4.7e-07, 'L': 0.000221, 'Vpk': 0.6}
1.688983e+03,2.609677e-02,6.844029e-06,9.741800e-02,9.125219e-05
1.724455e+03,2.607938e-02,1.539331e-05,9.938408e-02,1.752561e-04
1.760672e+03,2.606010e-02,7.247428e-06,1.013636e-01,1.302550e-04
1.797650e+03,2.603950e-02,1.086636e-05,1.034052e-01,3.075467e-04
1.835404e+03,2.602247e-02,1.463340e-05,1.054746e-01,3.360739e-04
1.873952e+03,2.600069e-02,1.005551e-05,1.075682e-01,2.807525e-04
1.913309e+03,2.598419e-02,7.777527e-06,1.096798e-01,2.383128e-04
1.953492e+03,2.596173e-02,1.235655e-05,1.119104e-01,3.594260e-04
1.994520e+03,2.593659e-02,5.112692e-06,1.141881e-01,2.596068e-04
2.036409e+03,2.591702e-02,5.587029e-06,1.163816e-01,1.181606e-04
2.079178e+03,2.589063e-02,2.209974e-05,1.186634e-01,4.144582e-04
2.122845e+03,2.586500e-02,1.044063e-05,1.210071e-01,4.023398e-04
2.167430e+03,2.584276e-02,1.269121e-05,1.234160e-01,2.501809e-04
2.212950e+03,2.581186e-02,2.372093e-05,1.257778e-01,4.616409e-04
2.259427e+03,2.578421e-02,3.146287e-05,1.282564e-01,4.601062e-04
2.306880e+03,2.575799e-02,2.068420e-05,1.308432e-01,3.035567e-04
2.355329e+03,2.572743e-02,1.391517e-05,1.332492e-01,3.638911e-04
2.404796e+03,2.570108e-02,1.142379e-05,1.358240e-01,1.812097e-04
2.455302e+03,2.566698e-02,7.387168e-06,1.386330e-01,2.022896e-04
2.506869e+03,2.563141e-02,9.921231e-06,1.410860e-01,4.082808e-04
2.559518e+03,2.560224e-02,1.231664e-05,1.439871e-01,5.938355e-04
2.613274e+03,2.556458e-02,1.004890e-05,1.467172e-01,9.213775e-04
2.668158e+03,2.552772e-02,1.660777e-05,1.495321e-01,5.457042e-04
2.724195e+03,2.333269e-02,2.430699e-03,1.517313e-01,3.477932e-02
2.781409e+03,2.544846e-02,2.988821e-05,1.551369e-01,8.220385e-04
2.839825e+03,2.540687e-02,1.831950e-05,1.581871e-01,9.390380e-04
2.899467e+03,2.536072e-02,1.858544e-05,1.612003e-01,5.992738e-04
2.960362e+03,2.532214e-02,1.541709e-05,1.641378e-01,4.015830e-04
3.022536e+03,2.527756e-02,1.266795e-05,1.672852e-01,1.976823e-04
3.086016e+03,2.523275e-02,7.319969e-06,1.702908e-01,2.051805e-04
3.150829e+03,2.517985e-02,1.132998e-05,1.733901e-01,7.403084e-04
3.217003e+03,2.512732e-02,2.847196e-05,1.764856e-01,1.235361e-03
3.284567e+03,2.507365e-02,2.721756e-05,1.798716e-01,1.080337e-03
3.353550e+03,2.501599e-02,4.010183e-05,1.830021e-01,1.337321e-03
3.423982e+03,2.496340e-02,4.681630e-05,1.867070e-01,1.589574e-03
3.495893e+03,2.490698e-02,2.984734e-05,1.899063e-01,2.320771e-03
3.569314e+03,2.484038e-02,5.356392e-05,1.932694e-01,2.191870e-03
3.644277e+03,2.477171e-02,4.787969e-05,1.965115e-01,2.576554e-03
3.720815e+03,2.470247e-02,6.267090e-05,2.004900e-01,3.285314e-03
3.798960e+03,2.464110e-02,7.968901e-05,2.036148e-01,2.826036e-03
3.878746e+03,2.459118e-02,8.295179e-05,2.068646e-01,3.293531e-03
3.960208e+03,2.446757e-02,5.231288e-05,2.107390e-01,2.710043e-03
4.043381e+03,2.443763e-02,3.535234e-06,2.124838e-01,2.482880e-04
4.128301e+03,2.437664e-02,3.622387e-05,2.176025e-01,2.585782e-03
4.215004e+03,2.424877e-02,7.556012e-05,2.213445e-01,2.907030e-03
4.303528e+03,2.416087e-02,7.369139e-05,2.259617e-01,3.029425e-03
4.393912e+03,2.406592e-02,1.007716e-04,2.300758e-01,3.387544e-03
4.486193e+03,2.399182e-02,5.977784e-05,2.333974e-01,2.704874e-03
4.580413e+03,2.389015e-02,5.193529e-05,2.370376e-01,2.956916e-03
4.676611e+03,2.380099e-02,5.582154e-05,2.409635e-01,2.631532e-03
4.774830e+03,2.370646e-02,5.340089e-05,2.450631e-01,2.337189e-03
4.875112e+03,2.359884e-02,4.017891e-05,2.489249e-01,3.133345e-03
4.977500e+03,2.347920e-02,5.271087e-05,2.528882e-01,2.190090e-03
5.082038e+03,2.337281e-02,5.511958e-05,2.565644e-01,1.821909e-03
5.188772e+03,2.326207e-02,3.955993e-05,2.603340e-01,1.721915e-03
5.297747e+03,2.313923e-02,4.977028e-05,2.644761e-01,1.543775e-03
5.409011e+03,2.301448e-02,4.531084e-05,2.684778e-01,1.510465e-03
5.522612e+03,2.288792e-02,4.006444e-05,2.723729e-01,1.544306e-03
5.638599e+03,2.275595e-02,3.011517e-05,2.764359e-01,1.691192e-03
5.757021e+03,2.262377e-02,2.820062e-05,2.803510e-01,1.176226e-03
5.877931e+03,2.248394e-02,2.474335e-05,2.841585e-01,9.604100e-04
6.001380e+03,2.232573e-02,4.235364e-05,2.880857e-01,1.425174e-03
6.127422e+03,2.217957e-02,2.673428e-05,2.921772e-01,4.661963e-04
6.256111e+03,2.201998e-02,2.442356e-05,2.953972e-01,7.450052e-04
6.387503e+03,2.185719e-02,5.056311e-05,2.993979e-01,2.051981e-03
6.521654e+03,2.169331e-02,5.399224e-05,3.030812e-01,2.044377e-03
6.658623e+03,2.152607e-02,8.892236e-05,3.064941e-01,2.688916e-03
6.798468e+03,2.134554e-02,7.739120e-05,3.093612e-01,3.726521e-03
6.941251e+03,2.115708e-02,1.287292e-04,3.132471e-01,1.179849e-03
7.087032e+03,2.097869e-02,1.006412e-04,3.164668e-01,4.512148e-03
7.235875e+03,2.076037e-02,1.204992e-04,3.203167e-01,4.993296e-03
7.387844e+03,2.057852e-02,1.230994e-04,3.222355e-01,5.912112e-03
7.543004e+03,2.037289e-02,1.210163e-04,3.245842e-01,6.269244e-03
7.701424e+03,2.014829e-02,1.305359e-04,3.295673e-01,6.309594e-03
7.863170e+03,1.991234e-02,1.126365e-04,3.304985e-01,7.134820e-03
8.028313e+03,1.962585e-02,7.379049e-05,3.242511e-01,1.979561e-03
8.196925e+03,1.939000e-02,8.882600e-05,3.402321e-01,3.976116e-03
8.369078e+03,1.925547e-02,1.519949e-04,3.353947e-01,7.026748e-03
8.544847e+03,1.901366e-02,1.364852e-04,3.341927e-01,6.586771e-03
8.724307e+03,1.873483e-02,1.555535e-04,3.363901e-01,7.063101e-03
8.907536e+03,1.850634e-02,1.151599e-04,3.370390e-01,7.111924e-03
9.094614e+03,1.824820e-02,1.246193e-04,3.367143e-01,7.147014e-03
9.285620e+03,1.798460e-02,1.102338e-04,3.355960e-01,6.122416e-03
9.480638e+03,1.771907e-02,9.162391e-05,3.340786e-01,6.131470e-03
9.679752e+03,1.741516e-02,1.404938e-04,3.331265e-01,2.870658e-03
9.883047e+03,1.713981e-02,1.221790e-04,3.307328e-01,5.671641e-03
1.009061e+04,1.688748e-02,8.135820e-05,3.273647e-01,3.249501e-03
1.030254e+04,1.659166e-02,7.127727e-05,3.227304e-01,4.215985e-03
1.051891e+04,1.630358e-02,4.929030e-05,3.187321e-01,4.281942e-03
1.073983e+04,1.601756e-02,6.862254e-05,3.135502e-01,3.160967e-03
1.096539e+04,1.572101e-02,5.377191e-05,3.066818e-01,3.168974e-03
1.119569e+04,1.543134e-02,6.217073e-05,2.989514e-01,3.662546e-03
1.143082e+04,1.513239e-02,8.317705e-05,2.895008e-01,3.813224e-03
1.167089e+04,1.483955e-02,5.812849e-05,2.802050e-01,3.850730e-03
1.191601e+04,1.454504e-02,3.059525e-05,2.692039e-01,1.178689e-03
1.216627e+04,1.421779e-02,9.549358e-06,2.551651e-01,1.988099e-03
1.242179e+04,1.392926e-02,4.752740e-05,2.402648e-01,4.641680e-03
1.268267e+04,1.369486e-02,4.807807e-05,2.241817e-01,2.901333e-03
1.294903e+04,1.338860e-02,4.997717e-05,2.062101e-01,3.335883e-03
1.322099e+04,1.312115e-02,1.499593e-04,1.859382e-01,5.362284e-03
1.349866e+04,1.289339e-02,6.335850e-05,1.638581e-01,5.984517e-03
1.378216e+04,1.263673e-02,8.828533e-05,1.402227e-01,7.715174e-03
1.407162e+04,1.242059e-02,1.256235e-04,1.139554e-01,6.067022e-03
1.436715e+04,1.220959e-02,9.106824e-05,8.558555e-02,8.587103e-03
1.466889e+04,1.201765e-02,7.772011e-05,5.613034e-02,8.970029e-03
1.497697e+04,1.186532e-02,9.298736e-05,2.560178e-02,9.601043e-03
1.529152e+04,1.170787e-02,1.176996e-04,-8.617929e-03,9.095168e-03
1.561267e+04,1.160671e-02,1.118174e-04,-4.653880e-02,1.040980e-02
1.594057e+04,1.164452e-02,7.213751e-05,-8.265195e-02,9.380214e-03
1.627536e+04,1.140723e-02,6.080992e-05,-1.311900e-01,2.632639e-03
1.661718e+04,1.142829e-02,1.150749e-04,-1.621542e-01,9.214407e-03
1.696617e+04,1.141976e-02,1.088896e-04,-1.958017e-01,1.076374e-02
1.732250e+04,1.152259e-02,1.146227e-04,-2.374302e-01,9.287428e-03
1.768631e+04,1.156625e-02,2.156283e-04,-2.770981e-01,9.302864e-03
