# RC-L
{'R_sense': 10, 'R_circuit': 10, 'C': 4.7e-07, 'L': 0.000221, 'Vpk': 0.6}
1.724455e+03,4.224373e-02,1.876516e-05,2.362651e-01,2.540809e-04
1.760672e+03,4.220421e-02,4.864702e-06,2.410506e-01,1.696392e-04
1.797650e+03,4.215991e-02,2.882113e-05,2.458445e-01,2.297945e-04
1.835404e+03,4.211404e-02,1.036783e-05,2.507137e-01,2.084621e-04
1.873952e+03,4.207052e-02,3.954492e-05,2.557845e-01,4.563003e-04
1.913309e+03,4.202916e-02,7.012029e-06,2.608865e-01,7.375164e-05
1.953492e+03,4.198309e-02,8.717716e-06,2.659950e-01,1.819215e-04
1.994520e+03,4.193077e-02,9.737048e-06,2.712644e-01,1.499757e-04
2.036409e+03,4.187896e-02,7.313667e-06,2.766985e-01,6.784492e-05
2.079178e+03,4.182534e-02,3.343271e-05,2.821009e-01,4.679873e-04
2.122845e+03,4.176932e-02,1.478229e-05,2.877292e-01,2.816598e-04
2.167430e+03,4.171451e-02,1.144892e-05,2.934052e-01,2.543697e-04
2.212950e+03,4.165544e-02,2.392169e-05,2.991641e-01,3.742152e-04
2.259427e+03,4.159431e-02,1.289341e-05,3.050455e-01,4.846288e-04
2.306880e+03,4.152838e-02,2.418717e-05,3.110086e-01,5.009743e-04
2.355329e+03,4.145842e-02,4.214841e-05,3.170446e-01,5.434262e-04
2.404796e+03,4.139463e-02,2.372628e-05,3.232504e-01,4.397238e-04
2.455302e+03,4.132150e-02,3.901661e-05,3.294636e-01,6.134233e-04
2.506869e+03,4.124766e-02,3.424528e-05,3.358816e-01,7.283629e-04
2.559518e+03,4.117359e-02,1.303818e-05,3.423201e-01,3.207202e-04
2.613274e+03,4.109159e-02,1.173185e-05,3.490472e-01,4.050606e-04
2.668158e+03,4.101167e-02,1.270320e-05,3.556932e-01,3.797606e-04
2.724195e+03,4.092196e-02,2.358591e-05,3.625094e-01,3.977260e-04
2.781409e+03,4.082997e-02,1.969004e-05,3.694200e-01,5.533129e-04
2.839825e+03,4.073927e-02,2.383616e-05,3.764093e-01,4.567072e-04
2.899467e+03,4.063977e-02,1.549131e-05,3.835025e-01,4.025156e-04
2.960362e+03,4.053831e-02,2.279624e-05,3.907548e-01,4.153446e-04
3.022536e+03,4.043947e-02,2.403930e-05,3.981620e-01,3.532692e-04
3.086016e+03,4.032941e-02,7.772201e-06,4.057457e-01,1.716382e-04
3.150829e+03,4.021862e-02,1.997093e-05,4.131458e-01,3.952512e-04
3.217003e+03,4.009864e-02,2.995098e-05,4.210466e-01,9.016116e-04
3.284567e+03,3.997565e-02,4.541127e-05,4.288094e-01,7.185583e-04
3.353550e+03,3.985063e-02,3.032047e-05,4.366262e-01,1.022780e-03
3.423982e+03,3.972177e-02,4.518754e-05,4.446265e-01,1.161817e-03
3.495893e+03,3.959333e-02,2.548465e-05,4.529532e-01,1.495548e-03
3.569314e+03,3.944447e-02,6.619111e-05,4.612318e-01,1.516390e-03
