# LC-R
{'R_sense': 10, 'R_circuit': 10, 'C': 4.7e-07, 'L': 0.000221, 'Vpk': 0.6}
8.685047e+02,2.584609e-02,2.632749e-06,-1.231944e-02,7.733580e-05
8.867452e+02,2.584772e-02,5.331130e-06,-1.258647e-02,1.180953e-04
9.053687e+02,2.584920e-02,6.238198e-06,-1.281264e-02,1.591138e-04
9.243834e+02,2.584929e-02,2.703675e-06,-1.311280e-02,8.156758e-05
9.437974e+02,2.585209e-02,3.984561e-06,-1.335483e-02,1.444409e-04
9.636192e+02,2.585125e-02,4.601890e-06,-1.359231e-02,1.862644e-04
9.838573e+02,2.585310e-02,4.441406e-06,-1.391105e-02,4.896519e-05
1.004520e+03,2.585325e-02,4.732515e-06,-1.414112e-02,7.585013e-05
1.025617e+03,2.585629e-02,3.113267e-06,-1.443359e-02,1.113897e-04
1.047158e+03,2.585641e-02,2.970665e-06,-1.474767e-02,2.462769e-04
1.069150e+03,2.585936e-02,4.849037e-06,-1.501885e-02,1.406698e-04
1.091605e+03,2.585627e-02,2.990373e-06,-1.528638e-02,1.518496e-04
1.114531e+03,2.586055e-02,4.953029e-06,-1.561045e-02,1.195876e-04
1.137938e+03,2.586323e-02,4.231760e-06,-1.592259e-02,1.274583e-04
1.161837e+03,2.586452e-02,4.198816e-06,-1.618810e-02,1.854249e-04
1.186238e+03,2.586337e-02,6.779708e-06,-1.657056e-02,6.753948e-05
1.211152e+03,2.549336e-02,1.297246e-03,-1.706606e-02,9.749811e-04
1.236589e+03,2.586761e-02,6.426863e-06,-1.724948e-02,1.527322e-04
1.262560e+03,2.586869e-02,4.913715e-06,-1.759743e-02,2.402534e-04
1.289076e+03,2.586879e-02,3.609986e-06,-1.794051e-02,2.480708e-04
1.316150e+03,2.587062e-02,7.507005e-06,-1.830769e-02,2.063051e-04
1.343792e+03,2.587411e-02,8.283893e-06,-1.858021e-02,9.221443e-05
1.372014e+03,2.587453e-02,7.284799e-06,-1.901068e-02,1.838021e-04
1.400829e+03,2.587713e-02,1.047180e-05,-1.943992e-02,2.657778e-04
1.430250e+03,2.587654e-02,8.521802e-06,-1.983431e-02,1.225592e-04
1.460288e+03,2.587983e-02,1.029380e-05,-2.019481e-02,2.101123e-04
1.490957e+03,2.588228e-02,4.058877e-06,-2.058439e-02,1.577981e-04
1.522271e+03,2.588433e-02,8.890361e-06,-2.094431e-02,9.986893e-05
1.554242e+03,2.588651e-02,3.936166e-06,-2.140987e-02,1.866127e-04
1.586884e+03,2.588856e-02,1.534643e-05,-2.185095e-02,1.951370e-04
1.620212e+03,2.588849e-02,1.117058e-05,-2.230360e-02,1.113591e-04
1.654240e+03,2.588980e-02,1.110379e-05,-2.273009e-02,1.204741e-04
1.688983e+03,2.589315e-02,1.112184e-05,-2.325975e-02,1.229332e-04
1.724455e+03,2.589480e-02,1.652556e-05,-2.361976e-02,1.168531e-04
1.760672e+03,2.589997e-02,5.807153e-06,-2.414238e-02,1.054800e-04
1.797650e+03,2.589991e-02,6.651846e-06,-2.470263e-02,1.477416e-04
1.835404e+03,2.590239e-02,1.537043e-05,-2.515415e-02,4.102521e-04
1.873952e+03,2.590545e-02,2.413973e-05,-2.563630e-02,2.241145e-04
1.913309e+03,2.590852e-02,1.115174e-05,-2.617768e-02,1.582734e-04
1.953492e+03,2.591315e-02,1.592176e-05,-2.664433e-02,3.664467e-04
1.994520e+03,2.591629e-02,6.931689e-06,-2.723554e-02,2.466918e-04
2.036409e+03,2.591794e-02,3.968414e-06,-2.785862e-02,1.318894e-04
2.079178e+03,2.592207e-02,1.357662e-05,-2.842697e-02,2.835947e-04
2.122845e+03,2.592785e-02,1.067883e-05,-2.888336e-02,2.756786e-04
2.167430e+03,2.592835e-02,8.370265e-06,-2.954631e-02,5.529506e-04
2.212950e+03,2.592940e-02,2.295607e-05,-3.023350e-02,4.868357e-04
2.259427e+03,2.593482e-02,2.424832e-05,-3.078936e-02,2.517463e-04
2.306880e+03,2.593859e-02,1.580464e-05,-3.141865e-02,3.908343e-04
2.355329e+03,2.594526e-02,2.707175e-05,-3.209785e-02,1.254313e-04
2.404796e+03,2.594775e-02,5.970454e-06,-3.278052e-02,1.057691e-04
2.455302e+03,2.594759e-02,2.451761e-05,-3.341892e-02,1.424128e-04
2.506869e+03,2.595252e-02,1.478019e-05,-3.410409e-02,2.587679e-04
2.559518e+03,2.596029e-02,1.060169e-05,-3.474240e-02,3.756984e-04
2.613274e+03,2.596638e-02,2.202349e-05,-3.557177e-02,5.160380e-04
2.668158e+03,2.596985e-02,1.665870e-05,-3.631607e-02,5.511583e-04
2.724195e+03,2.597315e-02,1.581025e-05,-3.701506e-02,5.237405e-04
2.781409e+03,2.597568e-02,1.821555e-05,-3.784112e-02,7.456484e-04
2.839825e+03,2.598586e-02,2.013422e-05,-3.866979e-02,5.472798e-04
2.899467e+03,2.599006e-02,1.440217e-05,-3.947851e-02,3.320261e-04
2.960362e+03,2.599576e-02,9.504546e-06,-4.022050e-02,3.585661e-04
3.022536e+03,2.600024e-02,2.342893e-05,-4.102799e-02,1.237943e-04
3.086016e+03,2.601234e-02,1.070023e-05,-4.203651e-02,1.901800e-04
3.150829e+03,2.601906e-02,1.579821e-05,-4.270002e-02,5.870473e-04
3.217003e+03,2.602257e-02,3.301257e-05,-4.370451e-02,7.193048e-04
3.284567e+03,2.602847e-02,2.484461e-05,-4.468386e-02,1.282923e-03
3.353550e+03,2.603294e-02,3.917436e-05,-4.548334e-02,1.500978e-03
3.423982e+03,2.603932e-02,4.033595e-05,-4.672113e-02,1.636164e-03
3.495893e+03,2.605757e-02,4.255065e-05,-4.764691e-02,2.366449e-03
3.569314e+03,2.605540e-02,4.748126e-05,-4.859589e-02,2.075645e-03
3.644277e+03,2.606638e-02,6.694280e-05,-4.989687e-02,2.686695e-03
3.720815e+03,2.607425e-02,6.091387e-05,-5.048654e-02,2.779713e-03
3.798960e+03,2.608473e-02,8.618974e-05,-5.160834e-02,2.547034e-03
3.878746e+03,2.612175e-02,7.595865e-05,-5.289351e-02,3.068358e-03
3.960208e+03,2.607834e-02,6.733602e-05,-5.525369e-02,2.668126e-03
4.043381e+03,2.615026e-02,6.601656e-06,-5.634612e-02,1.934250e-04
4.128301e+03,2.607962e-02,6.991230e-05,-5.504616e-02,2.621370e-03
4.215004e+03,2.614294e-02,8.930476e-05,-5.811167e-02,2.791010e-03
4.303528e+03,2.614340e-02,6.747362e-05,-5.854709e-02,2.474047e-03
4.393912e+03,2.615759e-02,6.258463e-05,-5.980986e-02,2.883725e-03
4.486193e+03,2.617479e-02,9.059287e-05,-6.151799e-02,3.082592e-03
4.580413e+03,2.618501e-02,5.875203e-05,-6.296959e-02,1.473355e-03
4.676611e+03,2.620593e-02,4.636809e-05,-6.430848e-02,2.045009e-03
4.774830e+03,2.622491e-02,6.157025e-05,-6.604754e-02,2.271949e-03
4.875112e+03,2.623980e-02,6.108929e-05,-6.735479e-02,1.556626e-03
4.977500e+03,2.625345e-02,5.138974e-05,-6.846985e-02,1.586396e-03
5.082038e+03,2.627772e-02,3.524964e-05,-7.033337e-02,1.721659e-03
5.188772e+03,2.629618e-02,3.770122e-05,-7.192870e-02,1.380774e-03
5.297747e+03,2.631955e-02,4.209343e-05,-7.347038e-02,1.884126e-03
5.409011e+03,2.633041e-02,3.269801e-05,-7.534942e-02,1.564290e-03
5.522612e+03,2.635809e-02,3.227590e-05,-7.682264e-02,1.675124e-03
5.638599e+03,2.638838e-02,3.034919e-05,-7.864500e-02,1.149964e-03
5.757021e+03,2.640897e-02,2.974618e-05,-8.014136e-02,1.110068e-03
5.877931e+03,2.643119e-02,1.629422e-05,-8.229154e-02,6.660087e-04
6.001380e+03,2.645043e-02,2.840359e-05,-8.401904e-02,5.288257e-04
6.127422e+03,2.647983e-02,3.654725e-05,-8.527835e-02,4.671005e-04
6.256111e+03,2.651465e-02,3.336319e-05,-8.774170e-02,6.594598e-04
6.387503e+03,2.654762e-02,7.816833e-05,-8.956160e-02,1.468321e-03
6.521654e+03,2.659586e-02,5.078148e-05,-9.148719e-02,1.773806e-03
6.658623e+03,2.661345e-02,8.419372e-05,-9.333733e-02,2.339009e-03
6.798468e+03,2.664549e-02,8.712293e-05,-9.591846e-02,2.473742e-03
6.941251e+03,2.669192e-02,1.091261e-04,-9.811447e-02,6.270538e-04
7.087032e+03,2.673179e-02,1.017939e-04,-1.000297e-01,3.315955e-03
7.235875e+03,2.675945e-02,1.082603e-04,-1.020430e-01,4.601753e-03
7.387844e+03,2.683571e-02,1.072763e-04,-1.052118e-01,4.930749e-03
7.543004e+03,2.686154e-02,1.247219e-04,-1.071170e-01,5.079508e-03
7.701424e+03,2.687526e-02,1.245152e-04,-1.101919e-01,5.527463e-03
7.863170e+03,2.694851e-02,1.445308e-04,-1.122022e-01,5.299313e-03
8.028313e+03,2.710929e-02,5.657000e-05,-1.209789e-01,1.638428e-03
8.196925e+03,2.715992e-02,1.079925e-04,-1.132029e-01,2.586819e-03
8.369078e+03,2.715630e-02,1.274154e-04,-1.209830e-01,4.725100e-03
8.544847e+03,2.726047e-02,1.237847e-04,-1.236381e-01,5.223723e-03
8.724307e+03,2.729746e-02,1.349678e-04,-1.268821e-01,4.398903e-03
8.907536e+03,2.737485e-02,1.614844e-04,-1.303671e-01,4.019011e-03
9.094614e+03,2.746251e-02,1.548782e-04,-1.329171e-01,2.944079e-03
9.285620e+03,2.757131e-02,1.011157e-04,-1.361915e-01,4.320339e-03
9.480638e+03,2.768099e-02,9.448939e-05,-1.386134e-01,4.105898e-03
9.679752e+03,2.775782e-02,3.948685e-05,-1.428826e-01,5.067665e-03
9.883047e+03,2.788728e-02,1.484441e-04,-1.466328e-01,3.435346e-03
1.009061e+04,2.801227e-02,6.773228e-05,-1.496958e-01,3.904886e-03
1.030254e+04,2.818031e-02,7.434543e-05,-1.524789e-01,1.957077e-03
1.051891e+04,2.833115e-02,6.461509e-05,-1.556824e-01,2.779708e-03
1.073983e+04,2.849251e-02,7.349525e-05,-1.592985e-01,2.255834e-03
1.096539e+04,2.865245e-02,5.171127e-05,-1.621926e-01,2.121112e-03
1.119569e+04,2.885172e-02,4.093681e-05,-1.650063e-01,1.777318e-03
1.143082e+04,2.907348e-02,4.631339e-05,-1.678542e-01,1.549665e-03
1.167089e+04,2.929989e-02,6.202372e-05,-1.704063e-01,1.912821e-03
1.191601e+04,2.950061e-02,2.638170e-04,-1.735469e-01,1.049629e-03
1.216627e+04,2.979560e-02,2.883096e-05,-1.750878e-01,8.101847e-04
1.242179e+04,3.008349e-02,5.743770e-05,-1.747525e-01,9.572765e-04
1.268267e+04,3.039130e-02,2.063361e-04,-1.748716e-01,2.726441e-03
1.294903e+04,3.072588e-02,2.308033e-04,-1.744524e-01,2.571927e-03
1.322099e+04,3.106688e-02,6.267456e-05,-1.729864e-01,2.734064e-03
1.349866e+04,3.151431e-02,7.482102e-05,-1.697567e-01,1.966932e-03
1.378216e+04,3.189128e-02,9.841510e-05,-1.651939e-01,1.950038e-03
1.407162e+04,3.235544e-02,1.102379e-04,-1.587149e-01,1.984227e-03
1.436715e+04,3.271856e-02,9.883357e-05,-1.499484e-01,3.948696e-03
1.466889e+04,3.316771e-02,3.171954e-04,-1.391316e-01,3.293245e-03
1.497697e+04,3.362910e-02,9.425442e-05,-1.262731e-01,3.192002e-03
1.529152e+04,3.404300e-02,1.565307e-04,-1.099866e-01,3.601877e-03
1.561267e+04,3.439574e-02,1.324164e-04,-9.074191e-02,3.396005e-03
1.594057e+04,3.462493e-02,8.516234e-05,-6.997323e-02,3.153751e-03
1.627536e+04,3.484630e-02,6.020656e-05,-5.022732e-02,1.161644e-03
1.661718e+04,3.505199e-02,1.367718e-04,-2.344069e-02,2.664182e-03
1.696617e+04,3.508468e-02,1.621006e-04,2.785857e-03,3.137323e-03
1.732250e+04,3.512544e-02,1.486834e-04,2.882079e-02,3.384687e-03
1.768631e+04,3.493698e-02,1.379489e-04,5.372153e-02,3.182809e-03
1.805776e+04,3.474418e-02,1.132207e-04,7.731513e-02,2.977007e-03
1.843701e+04,3.436474e-02,1.000489e-04,9.887965e-02,4.294065e-03
1.882423e+04,3.402782e-02,1.841981e-04,1.188503e-01,2.325231e-03
1.921958e+04,3.363900e-02,8.707453e-05,1.350533e-01,2.937835e-03
1.962323e+04,3.307286e-02,2.300004e-04,1.497470e-01,4.000382e-03
2.003536e+04,3.269957e-02,2.944880e-04,1.621937e-01,2.296290e-03
2.045615e+04,3.219114e-02,5.099123e-05,1.684634e-01,4.200793e-03
2.088577e+04,3.178918e-02,1.199529e-04,1.765443e-01,3.638927e-03
2.132442e+04,3.132389e-02,3.347113e-04,1.816552e-01,1.849528e-03
2.177227e+04,3.090473e-02,5.121897e-04,1.849834e-01,2.966553e-03
2.222954e+04,3.065336e-02,7.572605e-05,1.859860e-01,2.041419e-03
2.269641e+04,3.029546e-02,1.412879e-04,1.872061e-01,3.290782e-03
2.317308e+04,2.990391e-02,3.433536e-04,1.861538e-01,2.801798e-03
2.365976e+04,2.943259e-02,8.086508e-04,1.854706e-01,4.488887e-03
2.415667e+04,2.943298e-02,1.495964e-04,1.822302e-01,9.695202e-04
2.466401e+04,2.896461e-02,5.311836e-04,1.790291e-01,3.505064e-03
2.518201e+04,2.890700e-02,7.070152e-05,1.774374e-01,2.119597e-03
2.571089e+04,2.846698e-02,6.833636e-04,1.748213e-01,2.911018e-03
2.625087e+04,2.844552e-02,7.163578e-05,1.704084e-01,3.142977e-03
2.680219e+04,2.805641e-02,5.290414e-04,1.672124e-01,2.128224e-03
2.736510e+04,2.798212e-02,2.291582e-04,1.639014e-01,2.111238e-03
2.793982e+04,2.794381e-02,9.206008e-05,1.599118e-01,2.519583e-03
2.852662e+04,2.787644e-02,6.999734e-05,1.551007e-01,2.582705e-03
2.912574e+04,2.771486e-02,5.508427e-05,1.522131e-01,2.928347e-03
2.973744e+04,2.729524e-02,8.631197e-04,1.486815e-01,2.918513e-03
3.036199e+04,2.723191e-02,7.642449e-04,1.453655e-01,3.555652e-03
3.099966e+04,2.715532e-02,5.227221e-04,1.403889e-01,4.277690e-03
3.165072e+04,2.698084e-02,5.529445e-04,1.377584e-01,3.653031e-03
3.231545e+04,2.680115e-02,1.052875e-03,1.336556e-01,2.698719e-03
3.299415e+04,2.677019e-02,1.236266e-03,1.323989e-01,4.228032e-03
3.368709e+04,2.703141e-02,6.432255e-05,1.271654e-01,1.975188e-03
3.439460e+04,2.694628e-02,1.615892e-04,1.238233e-01,1.886637e-03
3.511696e+04,2.681586e-02,1.818142e-04,1.207451e-01,3.242155e-03
3.585449e+04,2.651381e-02,1.180991e-03,1.177835e-01,2.353404e-03
3.660751e+04,2.680229e-02,3.515907e-05,1.149079e-01,2.839143e-03
3.737634e+04,2.670425e-02,3.593996e-05,1.120223e-01,2.800754e-03
